Year,Brazil,China,India,United States
1961,2228704,1500,43200,3100
1962,2190303,1700,46000,4900
1963,1650527,2000,56200,2400
1964,1042013,2300,69300,3600
1965,2294047,2500,60900,2722
1966,1202868,3200,63900,2918
1967,1507500,3500,78500,1974
1968,1057700,3500,57331,2068
1969,1283500,3700,73430,1498
1970,754800,3800,63619,1560
1971,1551462,3900,110231,1063
1972,1495705,5000,68948,1321
1973,872897,6000,91072,1103
1974,1615309,6000,86388,559
1975,1272298,4000,92506,675
1976,375985,4000,84000,770
1977,975385,4000,102300,823
1978,1267661,4000,125000,610
1979,1332772,5000,110488,794
1980,1061195,5000,149835,522
1981,2032210,6000,118600,802
1982,957931,6000,152100,360
1983,1671588,6000,130000,1016
1984,1420281,9000,105029,635
1985,1910646,7000,195100,671
1986,1041406,7700,122400,1088
1987,2202708,8600,192100,653
1988,1348014,10000,122700,725
1989,1532335,8000,214700,1160
1990,1464856,6300,118100,1016
1991,1520382,3500,170000,1016
1992,1294373,3800,180000,871
1993,1278759,4000,162000,1056
1994,1307289,3250,208000,1560
1995,930135,3196,180000,1960
1996,1369196,3023,223000,2320
1997,1228513,3573,205000,3260
1998,1689366,6237,228000,3450
1999,1631852,8743,265000,3630
2000,1903562,11568,292000,3950
2001,1819569,17202,301000,3630
2002,2610524,19456,301000,3400
2003,1987074,23144,275275,3760
2004,2465710,21659,270500,2540
2005,2140169,21919,275500,3719
2006,2573368,25655,274000,3311
2007,2249011,26000,288000,3400
2008,2796927,33278,262000,3950
2009,2440056,70405,262300,3950
2010,2907265,49596,289600,3990
2011,2700540,65384,302000,3447
2012,3037534,92064,314000,3175
2013,2964538,116826,318200,3175
2014,2804070,127585.93,304500,3670
2015,2647504,115139.76,327000,2390
2016,3024466,113345.44,348000,1960
2017,2684508,114163.14,312000,2200
2018,3552729,115500,316000,2490
2019,3011745,120000,319500,2320
2020,3700231,114000,298000,1960
2021,2993780,108000,334000,2270
